Date,Amount,Type,Account,Running Balance,Category,Subcategory,Group,Counterparty,Description
2026-03-01,25000,revenue,Operating,68000,Investment,Seed Extension,Financing,Angel Syndicate,Seed extension tranche
2026-03-02,4200,revenue,Operating,72200,Subscriptions,Monthly Plans,Income,Customers,Monthly subscription revenue
2026-03-05,-9000,outflow,Operating,63200,Payroll,Product Team,Operating Costs,Payroll Provider,Team payroll
2026-03-06,-1800,outflow,Credit Card,-1800,Cloud,Hosting,Operating Costs,Vercel,Application hosting
2026-03-07,-2400,outflow,Credit Card,-4200,Cloud,Model APIs,Operating Costs,API Provider,Model usage
2026-03-10,-1200,outflow,Operating,62000,Legal,Corporate,Operating Costs,Counsel Co,Corporate filings
2026-03-12,5100,revenue,Operating,67100,Subscriptions,Annual Plans,Income,Customers,Annual subscription revenue
2026-03-16,-3000,outflow,Operating,64100,Marketing,Launch Campaign,Operating Costs,Launch Partner,Launch campaign
2026-03-20,-2500,outflow,Operating,61600,Contractors,Design,Delivery Costs,Product Designer,Product design sprint
2026-03-24,-750,outflow,Operating,60850,Software,Analytics,Operating Costs,Analytics Suite,Product analytics
2026-03-29,unknown,revenue,Operating,60850,Subscriptions,Monthly Plans,Income,Customers,Bad export row
